2026-07-21 20:34:55 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:34:55 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.5ms)
2026-07-21 20:34:56 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:34:56 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.1ms)
2026-07-21 20:34:56 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:34:56 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (3.5ms)
2026-07-21 20:34:57 | INFO    | app.main | POST /api/log/frontend -> 200 (7.5ms)
2026-07-21 20:35:04 | INFO    | app.main | GET /api/dbs -> 200 (3.5ms)
2026-07-21 20:35:04 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:35:04 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.8ms)
2026-07-21 20:35:06 | INFO    | app.main | POST /api/log/frontend -> 200 (6.0ms)
2026-07-21 20:35:12 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=- cities=- provinces=- -> total=4
2026-07-21 20:35:12 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.3ms)
2026-07-21 20:35:13 | INFO    | app.main | POST /api/log/frontend -> 200 (5.9ms)
2026-07-21 20:35:17 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-01-01,2026-01-01] codes=- cities=广州市 provinces=- -> total=3
2026-07-21 20:35:17 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (4.2ms)
2026-07-21 20:35:19 | INFO    | app.main | POST /api/log/frontend -> 200 (6.7ms)
